String,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,PhoWord,LengthOrtho,LengthPhono,FreqPerMill,avgfreq,category
blast,5,11.7796,3,7.44,8319.57,345.2,1492.33,53.5,437.31,10.33,254807.71,34183.4,22069.08,3659.5,1824.62,375.67,b.l.1.s.t,5,5,16.1765,16.1765,real
truly,5,39.2057,0,0,10105.88,358.6,1963.68,45.5,123.19,4,200556.26,26895.2,11216.32,2390.25,555.72,112,t.r0.u.l.i,5,5,35.8824,35.8824,real
start,5,199.539,4,25.43,9911.3,373.6,2038,52.75,612.76,11.33,334556.79,41711.2,22928.33,4020.5,3450.06,526.33,s.t.Ar.t,5,4,340.098,340.098,real
motel,5,7.43659,4,45.02,10245.4,464.4,1402.97,53.25,152.66,7.67,301871.85,35820.4,19461.13,3386.75,1382.93,214,m.oU.t.E.l,5,5,18.1765,18.1765,real
lined,5,17.8478,10,35.95,9663.01,479,1456.58,111.25,133.84,14,289976.53,40256.8,40720.05,7344.25,3396.08,947,l.aI.n.d,5,4,6.4706,6.4706,real
loved,5,83.2899,10,37.2,11428.94,475,1732.8,99.25,369.65,12.33,244399.27,30590.2,21995.16,3385.25,2486.5,282,l.V.v.d,5,4,110.3333,110.3333,real
frank,5,9.51884,5,9.6,7385.04,330.4,997.69,57,113.18,9.67,207473.82,26615.2,22713.24,3013.25,1222.3,379.33,f.r0.1.N.k,5,5,159.3922,159.3922,real
mouse,5,8.44797,8,71.25,12112.5,399.6,3652.99,56.75,509.97,9.67,265752.62,36176.6,24235.18,2720.5,2960.92,626.67,m.aU.s,5,3,19.1176,19.1176,real
wheat,5,30.3413,1,4.22,13143.1,264.2,4493.7,34.75,674.57,7,326455.85,32183,51417.2,3316.5,3549.72,285,w.i.t,5,3,5.7451,5.7451,real
steam,5,18.2643,3,8.21,7384.99,284,1498.83,43,146.69,9,332340.19,41839,25138.45,4594.5,1723.62,402,s.t.i.m,5,4,13.451,13.451,real
stain,5,7.3771,6,14.16,8123,342,1814.98,44.75,719.01,13,325967.96,43651,35326.88,6006.75,4093.16,496,s.t.eI.n,5,4,6.1961,6.1961,real
royal,5,74.3065,1,11.54,6487.58,290.2,587.95,29.5,82,1.67,239518.84,30593.6,13713.04,2229.25,172.53,29.67,r0.OI.l,5,3,23.2353,23.2353,real
hedge,5,11.7201,3,5.35,7256.39,311.8,483.66,30,55.13,7,307540.6,35444,42498.15,3097.25,987.02,198.67,h.E.dZ,5,3,1.549,1.549,real
stalk,5,5.7113,5,6.79,8594.28,346.6,1401.07,39.75,375.76,10,247774.29,33080,20233.22,3692.5,2687.55,431.67,s.t.O.k,5,4,1.6863,1.6863,real
naked,5,44.5006,6,12.44,8893.49,455.2,1321.88,88.5,484.51,14.33,277466.78,34101.2,15728.59,2882.5,1875.69,203.33,n.eI.k.I0.d,5,5,39.2549,39.2549,real
guard,5,42.8348,0,0,8160.44,360.4,896.87,32.75,179.23,5,198602.3,27519.6,11108.77,1821.25,1307.37,271,g.Ar.d,5,3,58.1961,58.1961,real
threw,5,49.9739,3,227,12366.21,382.6,3147.05,31.75,493.51,4.33,298679.77,31678.2,47713.53,2513,1209.27,124.67,T.r0.u,5,3,40.8235,40.8235,real
stony,5,6.96065,2,126.51,8553.27,399.8,1494.37,48.5,281.9,10.67,269101.59,34072,30941.92,3967.75,994.56,255.67,s.t.oU.n.i,5,5,0.60784,0.60784,real
nasty,5,21.8933,4,2.17,4932.02,389.4,541.74,45.25,94.28,10,280832.46,35786.2,19934.87,3096.5,1182.3,275,n.1.s.t.i,5,5,22.5686,22.5686,real
power,5,328.043,10,16.03,10827.98,473.4,2363.01,79.5,462.16,12,251641.67,31462.2,25836.88,3692.5,2447.53,144.33,p.aU.56,5,3,149.0196,149.0196,real
paper,5,173.421,7,1.19,9030.85,495.2,2322.83,86.5,206.3,10,260623.81,35434,23768.65,4282.5,2012.5,429.33,p.eI.p.56,5,4,103.3529,103.3529,real
crept,5,11.0062,3,3.11,8461,317.6,715.25,37.25,62.41,6.67,270318.02,35982.2,17325.78,2549,1339.9,274,k.r0.E.p.t,5,5,1.1373,1.1373,real
dying,5,42.8943,4,89.03,6393.64,221.2,2210.45,32.75,983.32,9,184463.79,26844.2,29847.7,5350.25,10410.9,2449.33,d.aI.I.N,5,4,66.9804,66.9804,real
light,5,298.535,9,251.96,6473.75,241.8,2249.44,23.5,1841.78,8.33,239274.35,29010,11176.79,1916,4202.49,420.33,l.aI.t,5,3,165.1961,165.1961,real
crush,5,8.38848,4,11.33,7692.9,289.4,581.9,39,70.92,6.67,197175.07,28747.2,9542.46,1878.75,495.48,185,k.r0.V.S,5,4,16.8039,16.8039,real
stack,5,9.39986,10,19.68,7672.05,322.8,1801.5,51.25,505.67,13.33,237094.24,31736.2,17016.84,3453,2840.38,487.33,s.t.1.k,5,4,6.098,6.098,real
court,5,128.088,1,80.79,11480.82,390.2,3111.09,51.5,892.23,7.33,238551.71,30400.6,22535.84,2816.75,4057.07,286.33,k.or.t,5,3,100.7255,100.7255,real
crown,5,24.63,8,26.68,6463.52,288.2,968.23,48.75,332.27,12,212340.66,27825.8,10916.64,1582.25,1816.2,221.33,k.r0.aU.n,5,4,13.6863,13.6863,real
clock,5,36.707,8,7.56,6648.2,282.8,989.07,45.25,219.33,9.33,151516.06,22599,6966.79,1542.5,861.75,258.33,k.l.A.k,5,4,58.6275,58.6275,real
thumb,5,23.9756,1,5.41,9251.36,193,2720.05,19.25,30.2,3.67,184764.08,18888,33730.94,1120.25,534.4,127.67,T.V.m,5,3,11.8235,11.8235,real
inner,5,47.4752,2,2.02,7448.62,347.8,2106.25,68.25,63.84,4.67,328609.7,45800.6,42625.14,7214.75,1143.01,266.33,I.n.56,5,3,9.9412,9.9412,real
trace,5,28.1996,7,34.1,12367.3,397,1555.84,58.75,431.64,10.33,330958.83,41113.4,15257.41,3210.75,2585.48,579.33,t.r0.eI.s,5,4,19.3922,19.3922,real
steel,5,44.2626,4,9.74,10914.23,445.8,1364.15,51.25,139.79,8.33,373705.42,49077.6,24912.03,4623,1797.85,419,s.t.i.l,5,4,18.451,18.451,real
honey,5,20.8225,6,64.64,10065.16,546.2,820.72,48.25,308.19,7.67,291116.65,31427.8,24337.14,3354.25,2629.86,263,h.V.n.i,5,4,300.4902,300.4902,real
cloud,5,32.5425,2,10.47,7683.08,314.6,1397.01,36.75,171.78,7.33,178824.5,24990.4,15306.54,1795,629.77,155.33,k.l.aU.d,5,4,11.7451,11.7451,real
visit,5,102.209,0,0,6102.9,261.4,338.5,24,104.87,2.33,261579.82,38301.4,23765.23,3056,1360.16,239.67,v.I.z.I0.t,5,5,58.6863,58.6863,real
storm,5,29.3299,3,74.17,7464.82,298.4,1247.34,40.25,331.08,8.67,264932.07,35301.8,28584.06,3474.75,2212.06,509,s.t.or.m,5,4,30.8627,30.8627,real
table,5,211.913,4,3.99,11524.98,409.4,832.04,33,237.22,5.67,306319.59,36704.2,14392.04,3036.5,2862.36,675.67,t.eI.b.l,5,4,105.6275,105.6275,real
board,5,85.4316,3,8.37,11589.88,452,1064.52,47.5,217.13,6.33,236104.51,29266,12084.78,1992.75,1223.88,310.67,b.or.d,5,3,64.1569,64.1569,real
